	adip.h	musc.h	hear.h	brai.h	cere.h	test.h	live.h	hear.c	brai.c	cere.c	test.c	live.c	adip.r	musc.r	hear.r	brai.r	cere.r	test.r	live.r		
ENSG00000136242	3.355931486	0.670546244	1.394598835	0	0	1.7913483	1.998808358	0	0	0	0.603662288	0.959053041	0	0	0	0	0	0	0		
ENSG00000162968	0	0	0	1.522233851	0	0.772057307	0	0	0.753864326	0	0	0	0	0	0	0.51224186	0	0	0		
ENSG00000175913	0	0	0	0.609550269	0.625134679	0	0	0	0.63611282	0.961336306	0	0	0	0	0	0	0	0	0		
ENSG00000176833	0	0	0	0	0	0.809798954	0	0	0	0	0.816119726	0	0	0	0	0	0	0	0		
ENSG00000176911	0	0	0	0	0	0	0	0	0	0	0	0	0.515027823	0	0	0	0.588613551	0	0		
ENSG00000180838	0	0	0	0	0	0.519416501	0	0	0	0	19.58266181	0.990769111	NA	NA	NA	NA	NA	NA	NA		
ENSG00000187488	21.58348568	9.058174864	38.42377934	8.401043123	10.01978534	47.17808205	29.29665472	11.82656099	7.947960611	6.253601407	25.36167289	7.789143061	7.701816876	7.133539871	7.057005666	5.598825692	4.277349514	29.39675353	10.26679674		
ENSG00000196273	0	0	0	0	0	0.632111046	0	0	0	0	0.708715764	0	0	0	0	0	0	0	0		
ENSG00000197916	38.464371	0.500777147	5.627404498	1.356538431	3.815318565	2.313303732	8.212195324	0.830446785	0.980044426	0	0	7.979125231	8.600180223	1.932741615	0.745403679	0.686915012	0	5.421596311	0		
ENSG00000204079	0	0	0	0	0	0	0	0	0.529864041	0.864318894	0.542272611	0	0	0	0	0	0	0	0		
ENSG00000204292	0	0	0	0	0	1.362178373	0	0	0	0	1.014320231	0	0	0	0	0	0	0	0		
ENSG00000204380	0.947479463	0	0	0.735055709	1.864700298	0.847132936	0	1.097508962	0.832638531	2.581208463	0.964327309	0.716773229	0	0	0	0	0	0	0		
ENSG00000205373	1.070388605	0	1.151060011	0	1.237439459	2.493199203	1.280852548	0	0	1.56255298	1.51507681	0.899948609	0	0	0	0	0	0.912090304	0		
ENSG00000205557	0	0	0	2.471914475	4.580490189	0	0	0	2.26173447	21.91914597	2.136646784	0	0	0	0	0	1.678591355	2.649115279	0		
ENSG00000205965	0	0	0	0	0	0	0.615794494	0	0	0	0	0	0.633935832	0	0	1.044604555	0	0	0		
ENSG00000206028	0	0	0	28.57530295	2.306964385	0	0	0	64.93593979	3.973687455	0.58312345	0	0	0	0	36.41923699	7.595264886	0	0		
ENSG00000206096	0	0	0	0.724193694	0	0.535648266	0	0	0	0	0	1.124935762	0	0	0	0	0	0	0		
ENSG00000206110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ENSG00000206113	0	0	0	0	0	2.999480617	0	0	0	0	1.584199007	0	0	0	0	0	0	1.454822552	0		
ENSG00000212693	0	0	0	2.984555829	0	0.519416501	0	0	5.713855503	0.704911119	0.578340483	0	0	0	0	1.866917427	0.606540867	2.001007175	1.323423787		
ENSG00000214780	0	0	0	0.571810237	0	0	0	0	0.57999547	0	0	0	0	0	0	0.551953857	0	0	0		
ENSG00000218478	0.512210498	1.251750852	1.281701791	4.691708838	6.11995694	0.678268725	2.074509648	0	2.809872471	3.337217225	1.624238279	1.43340231	2.130442036	0.580663842	0.658006543	6.347414168	8.766785398	8.984699777	2.577791005		
ENSG00000223857	0	0	0.854692583	0.670420392	1.350119922	0.743812443	0.501661706	0	0.877700999	0.992574559	0	0	0	0	0	1.520279394	2.284977232	1.070339557	0		
ENSG00000224013	0.591465691	0	0	0	0.895417216	1.854831142	0	0	0	1.366035581	2.713410333	0	0	0	0	0	0	0	0		
